USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root              3409   0.0  0.0 426916704   3760   ??  Ss    1:15PM   0:00.14 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
parasshivprasadkulkarni  3408   0.0  0.2 426980864  16672   ??  S     1:15PM   0:01.25 cloudphotod
parasshivprasadkulkarni  3407   0.0  0.5 427186096  43152   ??  S     1:15PM   0:47.47 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
_softwareupdate   3406   0.0  0.1 426952880   4496   ??  Ss    1:15PM   0:00.28 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
parasshivprasadkulkarni  3405   0.0  0.2 426961216  18736   ??  S     1:15PM   0:13.07 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
parasshivprasadkulkarni  3404   0.0  0.1 426950304   7280   ??  S     1:15PM   0:00.16 /usr/libexec/inputanalyticsd
_softwareupdate   3403   0.0  0.2 431358912  12848   ??  Ss    1:15PM   0:10.51 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
parasshivprasadkulkarni  3400   0.0  0.2 426958848  15920   ??  S     1:15PM   0:00.56 /usr/libexec/appleaccountd
parasshivprasadkulkarni  3398   0.0  0.2 426955920  13408   ??  S     1:15PM   0:00.72 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
parasshivprasadkulkarni  3399   0.0  0.2 426955728  12928   ??  S     1:15PM   0:00.31 /usr/libexec/milod
parasshivprasadkulkarni  3401   0.0  0.1 426959792   9408   ??  S     1:15PM   0:00.13 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
parasshivprasadkulkarni  3396   0.0  0.1 427067152  11264   ??  S     1:15PM   0:01.26 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
parasshivprasadkulkarni  3395   0.0  0.1 426950688   6144   ??  Ss    1:15PM   0:00.20 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
parasshivprasadkulkarni  3394   0.0  0.0 426917760   3520   ??  S     1:15PM   0:00.23 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
parasshivprasadkulkarni  3393   0.0  0.2 426955824  13648   ??  S     1:15PM   0:00.66 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
parasshivprasadkulkarni  3390   0.0  0.1 426950192   7264   ??  S     1:15PM   0:00.30 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
parasshivprasadkulkarni  3391   0.0  0.2 426952064  13056   ??  S     1:15PM   0:02.25 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
parasshivprasadkulkarni  3389   0.0  0.3 427008160  25328   ??  S     1:15PM   0:00.83 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
parasshivprasadkulkarni  3392   0.0  0.1 426955456   6768   ??  S     1:15PM   0:00.27 /usr/libexec/dmd
root              3388   0.0  0.0 426945888   3456   ??  Ss    1:15PM   0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
root              3387   0.0  0.1 426950144   4864   ??  Ss    1:15PM   0:00.15 /usr/libexec/powerexperienced
parasshivprasadkulkarni  3370   0.0  0.2 426964144  17888   ??  S     1:14PM   0:00.53 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
parasshivprasadkulkarni  3369   0.0  0.1 426912672   6192   ??  S     1:14PM   0:00.07 /usr/libexec/feedbackd
parasshivprasadkulkarni  3204   0.0  0.2 427142704  18640   ??  Ss    1:09PM   0:00.69 /System/Library/Frameworks/AuthenticationServices.framework/Versions/A/XPCServices/com.apple.AuthenticationServices.Helper.xpc/Contents/MacOS/com.apple.AuthenticationServices.Helper
parasshivprasadkulkarni  3166   0.0  0.2 411086288  13280   ??  Ss    1:07PM   0:00.78 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
parasshivprasadkulkarni  3160   0.0  0.3 410780496  23792   ??  S     1:07PM   0:07.71 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
parasshivprasadkulkarni  3159   0.0  0.1 426958592  11344   ??  S     1:07PM   0:00.65 /System/Library/PrivateFrameworks/People.framework/peopled
parasshivprasadkulkarni  3126   0.0  0.2 411017792  18880   ??  S     1:06PM   0:00.45 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
parasshivprasadkulkarni  3125   0.0  0.0 426980016   2848   ??  Ss    1:06PM   0:00.21 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root              3034   0.0  0.1 426951248   4864   ??  Ss    1:02PM   0:00.14 /usr/libexec/secinitd
root              3033   0.0  0.1 426954400  12464   ??  S     1:02PM   0:01.20 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
parasshivprasadkulkarni  2859   0.0  0.1 426925792  11392   ??  Ss   12:58PM   0:00.04 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor
parasshivprasadkulkarni  2858   0.0  0.1 426925936  10688   ??  Ss   12:58PM   0:00.04 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor
parasshivprasadkulkarni  2857   0.0  0.1 426959296  12400   ??  Ss   12:58PM   0:00.04 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor
parasshivprasadkulkarni  2856   0.0  0.2 426925792  12784   ??  Ss   12:58PM   0:00.16 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor
parasshivprasadkulkarni  2855   0.0  0.1 426917264   4464   ??  Ss   12:58PM   0:00.16 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
parasshivprasadkulkarni  2854   0.0  0.2 410806544  18656   ??  Ss   12:58PM   0:00.87 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
parasshivprasadkulkarni  2577   0.0  0.0 426912624   3744   ??  Ss   12:55PM   0:00.05 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
parasshivprasadkulkarni  2530   0.0  0.1 426916880   5840   ??  S    12:50PM   0:00.09 /usr/libexec/keychainsharingmessagingd
parasshivprasadkulkarni  2529   0.0  0.0 410191920   3824   ??  Ss   12:50PM   0:00.04 /System/Library/PrivateFrameworks/SafariFoundation.framework/Versions/A/XPCServices/CredentialProviderExtensionHelper.xpc/Contents/MacOS/CredentialProviderExtensionHelper
parasshivprasadkulkarni  2528   0.0  0.2 431460736  15536   ??  S    12:50PM   0:01.00 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
root              2508   0.0  0.1 426957328   8224   ??  Ss   12:45PM   0:00.72 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
parasshivprasadkulkarni  2507   0.0  0.1 426965888  10544   ??  S    12:45PM   0:02.36 /usr/libexec/replayd
parasshivprasadkulkarni  2503   0.0  0.1 426946064   5264   ??  S    12:44PM   0:00.07 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
parasshivprasadkulkarni  2499   0.0  0.0 426980016   2816   ??  Ss   12:44PM   0:01.29 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
parasshivprasadkulkarni  2498   0.0  0.2 444194032  19456   ??  S    12:43PM   0:00.98 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Plugin).app/Contents/MacOS/Google Chrome Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=ad29238d-a17b-4b52-9706-c2f6c8f4834d --shared-files --field-trial-handle=1718379636,r,15231694984273348378,7387925993439321211,262144 --variations-seed-version=20250613-130015.573000
parasshivprasadkulkarni  2421   0.0  0.0 426896192   3488   ??  Ss   12:40PM   0:16.78 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
parasshivprasadkulkarni  2405   0.0  0.2 444334672  13344   ??  S    12:40PM   0:05.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=ad29238d-a17b-4b52-9706-c2f6c8f4834d --shared-files --field-trial-handle=1718379636,r,15231694984273348378,7387925993439321211,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=65
root              1485   0.0  0.1 426949824   5648   ??  Ss   12:06PM   0:00.20 /usr/libexec/powerdatad
parasshivprasadkulkarni  1464   0.0  0.1 426954912   8032   ??  S    12:06PM   0:00.18 /usr/libexec/keyboardservicesd
parasshivprasadkulkarni  1462   0.0  0.3 427436208  22496   ??  S    12:06PM   0:01.17 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
parasshivprasadkulkarni  1282   0.0  0.1 426951104   5872   ??  S    12:02PM   0:00.13 /usr/libexec/metrickitd
parasshivprasadkulkarni  1280   0.0  0.1 426961664  12304   ??  S    12:02PM   0:01.87 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
_rmd              1225   0.0  0.0 426916640   1888   ??  S    12:02PM   0:00.35 /usr/sbin/distnoted agent
parasshivprasadkulkarni  1198   0.0  0.1 411184320   9200   ??  S    12:01PM   0:01.02 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
parasshivprasadkulkarni  1080   0.0  0.2 411292304  15440   ??  S    12:01PM   0:00.75 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
root              1079   0.0  0.0 426916144   2672   ??  Ss   12:00PM   0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root              1062   0.0  0.1 426956368  10688   ??  Ss   12:00PM   0:01.07 /System/Library/CoreServices/SubmitDiagInfo server-init
parasshivprasadkulkarni  1061   0.0  0.1 426949952   6704   ??  S    12:00PM   0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
_installcoordinationd  1044   0.0  0.1 426917152   5120   ??  Ss   12:00PM   0:00.07 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
parasshivprasadkulkarni  1039   0.0  0.2 426990032  15680   ??  S    12:00PM   0:02.12 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
parasshivprasadkulkarni  1038   0.0  0.2 426959840  15664   ??  Ss   12:00PM   0:00.17 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
parasshivprasadkulkarni  1037   0.0  0.1 426960080   8720   ??  Ss   12:00PM   0:00.09 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
parasshivprasadkulkarni  1036   0.0  0.1 426960096   8528   ??  Ss   12:00PM   0:00.08 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
parasshivprasadkulkarni  1034   0.0  0.2 426960432  15680   ??  S    12:00PM   0:03.91 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
parasshivprasadkulkarni  1029   0.0  0.2 411222160  19648   ??  Ss   12:00PM   0:03.89 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
_fpsd             1026   0.0  0.0 426932112   2048   ??  Ss   12:00PM   0:00.35 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
parasshivprasadkulkarni   719   0.0  0.1 426951616   9856   ??  S    12:00PM   0:00.54 /System/Library/CoreServices/diagnostics_agent
root               990   0.0  0.1 426951920   4544   ??  S    12:00PM   0:00.24 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
root               395   0.0  0.0 426916256   4176   ??  Ss   12:00PM   0:00.57 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
root               969   0.0  0.0 426916352   3136   ??  Ss   12:00PM   0:02.02 /usr/libexec/sysmond
_applepay          957   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.35 /usr/sbin/distnoted agent
_gamecontrollerd   942   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.34 /usr/sbin/distnoted agent
parasshivprasadkulkarni   951   0.0  0.2 1595907152  19728   ??  S    12:00PM   0:01.72 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=873
_applepay          943   0.0  0.1 426952416   8240   ??  Ss   12:00PM   0:00.48 /usr/libexec/nfcd
parasshivprasadkulkarni   934   0.0  0.3 1595902032  24848   ??  S    12:00PM   0:01.95 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/parasshivprasadkulkarni/.vscode/extensions/formulahendry.auto-rename-tag-0.1.10/packages/server/dist/serverMain.js --node-ipc --clientProcessId=873
parasshivprasadkulkarni   915   0.0  5.9 1604654768 496880   ??  S    12:00PM   4:50.24 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/parasshivprasadkulkarni/.vscode/extensions/ms-python.vscode-pylance-2025.4.1/dist/server.bundle.js --cancellationReceive=file:6956ba093f3b8b40978839e702772794a308a45645 --node-ipc --clientProcessId=873
parasshivprasadkulkarni   890   0.0  0.0 410265792    368 s003  Ss+  12:00PM   0:00.02 /bin/zsh -i
parasshivprasadkulkarni   884   0.0  0.4 1595951360  35968   ??  S    12:00PM   0:04.51 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/parasshivprasadkulkarni/.vscode/extensions/visualstudioexptteam.intellicode-api-usage-examples-0.2.8/dist/server/server.js --node-ipc --clientProcessId=873
parasshivprasadkulkarni   883   0.0  0.0 410530416    352   ??  S    12:00PM   0:00.19 /Users/parasshivprasadkulkarni/.vscode/extensions/ms-python.python-2024.14.1-darwin-arm64/python-env-tools/bin/pet server
parasshivprasadkulkarni   877   0.0  0.0 410396864   2560 s001  Ss   12:00PM   0:00.46 /bin/zsh -il
parasshivprasadkulkarni   876   0.0  0.2 427111296  16272   ??  S    12:00PM   0:00.48 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
parasshivprasadkulkarni   867   0.0  0.3 1595993008  26032   ??  S    12:00PM   0:02.74 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/parasshivprasadkulkarni/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,16059554118322082020,4139111527702322365,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma,kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
parasshivprasadkulkarni   861   0.0  0.1 411106304  12288   ??  Ss   12:00PM   0:00.32 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
_nsurlsessiond     857   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.34 /usr/sbin/distnoted agent
parasshivprasadkulkarni   850   0.0  0.1 426968448  11312   ??  S    12:00PM   0:00.33 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
parasshivprasadkulkarni   847   0.0  0.2 443980736  18512   ??  S    12:00PM   0:05.61 /private/var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/parasshivprasadkulkarni/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,16059554118322082020,4139111527702322365,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma,kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --seatbelt-client=34
parasshivprasadkulkarni   845   0.0  0.0 443694448   2144   ??  S    12:00PM   0:00.05 /var/folders/5w/hpcbgjlj58lfqt2drvf89bbh0000gn/T/AppTranslocation/37B7D233-735A-4784-AE32-6F2626B6F0B9/d/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/parasshivprasadkulkarni/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=5a2d48c6-924b-4057-b13f-adecebbc5f93&iid=5a2d48c6-924b-4057-b13f-adecebbc5f93&sid=5a2d48c6-924b-4057-b13f-adecebbc5f93 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.91.1 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=29.4.0 --handshake-fd=22
root               843   0.0  0.0 410772752   1904   ??  Ss   12:00PM   0:00.05 /usr/libexec/online-auth-agent
parasshivprasadkulkarni   839   0.0  0.2 426960960  12816   ??  SN   12:00PM   0:02.28 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_driverkit         833   0.0  0.0 426851568    880   ??  Ss   12:00PM   0:00.02 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000d75 com.apple.IOUserBluetoothSerialDriver
parasshivprasadkulkarni   829   0.0  0.1 426968192  12336   ??  S    12:00PM   0:00.29 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
parasshivprasadkulkarni   831   0.0  0.1 426951120   7776   ??  S    12:00PM   0:00.11 /usr/libexec/seserviced
parasshivprasadkulkarni   823   0.0  0.2 426962544  15568   ??  Ss   12:00PM   0:00.05 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension
parasshivprasadkulkarni   822   0.0  0.1 426961696   6752   ??  Ss   12:00PM   0:00.03 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
root               821   0.0  0.0 426917744   2176   ??  Ss   12:00PM   0:00.19 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
parasshivprasadkulkarni   818   0.0  0.2 426962016  15312   ??  Ss   12:00PM   0:00.05 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget
parasshivprasadkulkarni   816   0.0  0.2 426961712  15088   ??  Ss   12:00PM   0:00.04 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension
parasshivprasadkulkarni   594   0.0  0.2 426969952  18224   ??  S    12:00PM   0:05.19 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
parasshivprasadkulkarni   813   0.0  0.1 426961408   6656   ??  Ss   12:00PM   0:00.02 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension
_audiomxd          814   0.0  0.1 426949280   5760   ??  Ss   12:00PM   0:00.54 /usr/libexec/audiomxd
parasshivprasadkulkarni   812   0.0  0.1 411488064  11840   ??  Ss   12:00PM   0:04.72 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
parasshivprasadkulkarni   811   0.0  0.2 426962048  14992   ??  Ss   12:00PM   0:00.04 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople
parasshivprasadkulkarni   810   0.0  0.1 426962096   7904   ??  Ss   12:00PM   0:00.04 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension
parasshivprasadkulkarni   809   0.0  0.2 427001616  15584   ??  Ss   12:00PM   0:00.06 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget
parasshivprasadkulkarni   808   0.0  0.1 426961936   7616   ??  Ss   12:00PM   0:00.04 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension
parasshivprasadkulkarni   799   0.0  0.1 426961680   6768   ??  Ss   12:00PM   0:00.03 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
_accessoryupdater   807   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.35 /usr/sbin/distnoted agent
parasshivprasadkulkarni   798   0.0  0.3 410471968  26496   ??  Ss   12:00PM   0:04.18 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN")
parasshivprasadkulkarni   795   0.0  0.1 426953024   8640   ??  S    12:00PM   0:00.35 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
parasshivprasadkulkarni   794   0.0  0.1 427126512   7008   ??  Ss   12:00PM   0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
parasshivprasadkulkarni   793   0.0  0.2 426961472  14992   ??  Ss   12:00PM   0:00.04 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems
parasshivprasadkulkarni   780   0.0  0.2 431760512  13056   ??  Ss   12:00PM   0:00.52 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
parasshivprasadkulkarni   777   0.0  0.0 499006368    848   ??  Ss   12:00PM   0:00.23 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
root               774   0.0  0.0 426924928   1264   ??  Ss   12:00PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
parasshivprasadkulkarni   773   0.0  0.1 431364736   6976   ??  Ss   12:00PM   0:00.28 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
parasshivprasadkulkarni   770   0.0  0.2 444196800  18496   ??  S    12:00PM   0:01.52 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=ad29238d-a17b-4b52-9706-c2f6c8f4834d --shared-files --field-trial-handle=1718379636,r,15231694984273348378,7387925993439321211,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=29
parasshivprasadkulkarni   766   0.0  0.1 426961408   7200   ??  Ss   12:00PM   0:00.05 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension
parasshivprasadkulkarni   769   0.0  0.8 444380352  68336   ??  S    12:00PM   1:02.80 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=ad29238d-a17b-4b52-9706-c2f6c8f4834d --shared-files --field-trial-handle=1718379636,r,15231694984273348378,7387925993439321211,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=15
