USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni  4614   0.0  0.1 426951184   7568   ??  S     3:22PM   0:00.13 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
root              4593   0.0  0.0 426912704   2368   ??  Ss    3:19PM   0:00.03 /usr/libexec/tzd
parasshivprasadkulkarni  4591   0.0  0.2 426957744  15168   ??  S     3:19PM   0:01.68 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
parasshivprasadkulkarni  4592   0.0  0.3 426964816  21472   ??  S     3:19PM   0:00.25 /System/Library/PrivateFrameworks/AvatarPersistence.framework/Support/avatarsd
parasshivprasadkulkarni  4581   0.0  0.1 426952000   4816   ??  S     3:19PM   0:00.06 /System/Library/PrivateFrameworks/PodcastServices.framework/XPCServices/PodcastContentService.xpc/Contents/MacOS/PodcastContentService
parasshivprasadkulkarni  4580   0.0  0.1 426987312  11584   ??  Ss    3:19PM   0:00.07 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
parasshivprasadkulkarni  4570   0.0  0.0 410885952   1584   ??  S     3:18PM   0:00.05 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
parasshivprasadkulkarni  4563   0.0  0.2 426962752  16608   ??  S     3:18PM   0:00.54 /usr/libexec/proactived
root              4557   0.0  0.1 426951424   4224   ??  Ss    3:18PM   0:00.04 /usr/libexec/sysdiagnosed
root              4554   0.0  0.0 426913424   2720   ??  Ss    3:17PM   0:00.13 /System/Library/PrivateFrameworks/AppleNeuralEngine.framework/XPCServices/ANEStorageMaintainer.xpc/Contents/MacOS/ANEStorageMaintainer
_neuralengine     4552   0.0  0.0 426916688   1760   ??  S     3:17PM   0:00.06 /usr/sbin/cfprefsd agent
_neuralengine     4551   0.0  0.0 426916640   1952   ??  S     3:17PM   0:00.15 /usr/sbin/distnoted agent
_neuralengine     4549   0.0  0.0 426913424   2016   ??  Ss    3:17PM   0:00.03 /System/Library/PrivateFrameworks/AppleNeuralEngine.framework/XPCServices/ANEStorageMaintainer.xpc/Contents/MacOS/ANEStorageMaintainer
parasshivprasadkulkarni  4546   0.0  0.1 426953264   7808   ??  S     3:17PM   0:00.26 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
parasshivprasadkulkarni  4545   0.0  0.1 426916224   5776   ??  S     3:17PM   0:00.09 /usr/libexec/findmydevice-user-agent
root              4544   0.0  0.1 426951232  10592   ??  Ss    3:17PM   0:00.15 /usr/libexec/findmydeviced
root              4542   0.0  0.0 426916224   1440   ??  Ss    3:17PM   0:00.06 /usr/libexec/applekeystored
parasshivprasadkulkarni  4536   0.0  0.1 426951584  10896   ??  S     3:17PM   0:00.13 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
parasshivprasadkulkarni  4534   0.0  0.1 426951824  10656   ??  S     3:17PM   0:00.13 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
parasshivprasadkulkarni  4524   0.0  0.1 426957616   5792   ??  S     3:17PM   0:00.07 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
