--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:58:49 2025
--------------------------------------------------------------------------------
{'pid': 387, 'username': 'root', 'name': 'loginwindow', 'vms': 402584.859375} 
{'pid': 3751, 'username': 'parasshivprasadkulkarni', 'name': 'csnameddatad', 'vms': 416910.84375} 

{'pid': 3752, 'username': 'parasshivprasadkulkarni', 'name': 'iCloudNotificationAgent', 'vms': 416948.203125} 

{'pid': 3757, 'username': 'parasshivprasadkulkarni', 'name': 'ThemeWidgetControlViewService', 'vms': 401343.78125} 

{'pid': 3759, 'username': 'parasshivprasadkulkarni', 'name': 'WhatsApp', 'vms': 403573.96875} 

{'pid': 3763, 'username': 'parasshivprasadkulkarni', 'name': 'WAAppKitBridgeService', 'vms': 401323.515625} 

{'pid': 3781, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.accessibility.mediaaccessibilityd', 'vms': 416910.859375} 

{'pid': 3784, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.Safari.SafeBrowsing.Service', 'vms': 416965.15625} 

{'pid': 3789, 'username': 'parasshivprasadkulkarni', 'name': 'intents_helper', 'vms': 416943.328125} 

{'pid': 3790, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.SiriTTSService.TrialProxy', 'vms': 401035.390625} 

{'pid': 3791, 'username': 'parasshivprasadkulkarni', 'name': 'QuickLookUIService', 'vms': 417160.265625} 

{'pid': 3797, 'username': 'parasshivprasadkulkarni', 'name': 'axassetsd', 'vms': 416945.5} 

{'pid': 3799, 'username': 'parasshivprasadkulkarni', 'name': 'SiriAUSP', 'vms': 400603.828125} 

{'pid': 3800, 'username': 'parasshivprasadkulkarni', 'name': 'MacinTalkAUSP', 'vms': 400852.953125} 

{'pid': 3801, 'username': 'parasshivprasadkulkarni', 'name': 'WardaSynthesizer_x86_64', 'vms': 33215.66015625} 

