--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:16:53 2025
--------------------------------------------------------------------------------{'username': 'root', 'name': 'loginwindow', 'pid': 387, 'vms': 402582.125} 
{'username': 'parasshivprasadkulkarni', 'name': 'homed', 'pid': 690, 'vms': 416956.84375} 

{'username': 'parasshivprasadkulkarni', 'name': 'extensionkitservice', 'pid': 693, 'vms': 416920.21875} 

{'username': 'parasshivprasadkulkarni', 'name': 'followupd', 'pid': 694, 'vms': 416910.546875} 

{'username': 'parasshivprasadkulkarni', 'name': 'familycircled', 'pid': 697, 'vms': 416943.703125} 

{'username': 'parasshivprasadkulkarni', 'name': 'contentlinkingd', 'pid': 698, 'vms': 416944.078125} 

{'username': 'parasshivprasadkulkarni', 'name': 'contactsd', 'pid': 700, 'vms': 416952.265625} 

{'username': 'parasshivprasadkulkarni', 'name': 'akd', 'pid': 702, 'vms': 416951.921875} 

{'username': 'parasshivprasadkulkarni', 'name': 'heard', 'pid': 703, 'vms': 416955.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'corespeechd', 'pid': 704, 'vms': 417009.96875} 

{'username': 'parasshivprasadkulkarni', 'name': 'BiomeAgent', 'pid': 707, 'vms': 416944.765625} 

{'username': 'parasshivprasadkulkarni', 'name': 'imklaunchagent', 'pid': 709, 'vms': 401070.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Siri', 'pid': 712, 'vms': 401613.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'icdd', 'pid': 713, 'vms': 416943.53125} 

{'username': 'parasshivprasadkulkarni', 'name': 'AirPlayUIAgent', 'pid': 716, 'vms': 401346.90625} 

{'username': 'parasshivprasadkulkarni', 'name': 'imagent', 'pid': 717, 'vms': 416953.28125} 

{'username': 'parasshivprasadkulkarni', 'name': 'diagnostics_agent', 'pid': 719, 'vms': 416944.9375} 

{'username': 'parasshivprasadkulkarni', 'name': 'TextInputMenuAgent', 'pid': 720, 'vms': 402048.1875} 

{'username': 'parasshivprasadkulkarni', 'name': 'Grammarly Desktop Helper', 'pid': 722, 'vms': 401744.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'CursorUIViewService', 'pid': 726, 'vms': 401652.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'TextInputSwitcher', 'pid': 728, 'vms': 416990.0} 

{'username': 'parasshivprasadkulkarni', 'name': 'ctkahp', 'pid': 730, 'vms': 416910.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'searchpartyuseragent', 'pid': 733, 'vms': 416972.46875} 

{'username': 'parasshivprasadkulkarni', 'name': 'commerce', 'pid': 735, 'vms': 416949.828125} 

{'username': 'parasshivprasadkulkarni', 'name': 'TextThumbnailExtension', 'pid': 737, 'vms': 417173.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'PAH_Extension', 'pid': 739, 'vms': 416970.09375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome', 'pid': 740, 'vms': 467337.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'StocksWidget', 'pid': 743, 'vms': 417209.515625} 

{'username': 'parasshivprasadkulkarni', 'name': 'AppSSOAgent', 'pid': 744, 'vms': 401870.046875} 

{'username': 'parasshivprasadkulkarni', 'name': 'maild', 'pid': 749, 'vms': 416944.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'ScreenTimeWidgetExtension', 'pid': 753, 'vms': 417015.078125} 

{'username': 'parasshivprasadkulkarni', 'name': 'mediaremoteagent', 'pid': 756, 'vms': 416906.28125} 

{'username': 'parasshivprasadkulkarni', 'name': 'avconferenced', 'pid': 757, 'vms': 416902.46875} 

{'username': 'parasshivprasadkulkarni', 'name': 'WorldClockWidget', 'pid': 758, 'vms': 416979.78125} 

{'username': 'parasshivprasadkulkarni', 'name': 'chrome_crashpad_handler', 'pid': 761, 'vms': 433314.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Grammarly Desktop', 'pid': 764, 'vms': 406746.59375} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.Notes.WidgetExtension', 'pid': 766, 'vms': 416954.5} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome Helper (GPU)', 'pid': 768, 'vms': 434359.203125} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome Helper', 'pid': 769, 'vms': 433965.015625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome Helper', 'pid': 770, 'vms': 433785.78125} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.GPU', 'pid': 773, 'vms': 421254.625} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.WebContent', 'pid': 777, 'vms': 487310.90625} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.Networking', 'pid': 780, 'vms': 421641.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'FindMyWidgetItems', 'pid': 793, 'vms': 416954.5625} 

{'username': 'parasshivprasadkulkarni', 'name': 'SafariWidgetExtension', 'pid': 794, 'vms': 417115.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'AssetCacheLocatorService', 'pid': 795, 'vms': 416946.3125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ServiceExtension', 'pid': 798, 'vms': 400851.53125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ShortcutsWidgetExtension', 'pid': 799, 'vms': 416954.765625} 

{'username': 'parasshivprasadkulkarni', 'name': 'PeopleWidget_macOSExtension', 'pid': 808, 'vms': 416955.015625} 

{'username': 'parasshivprasadkulkarni', 'name': 'PodcastsWidget', 'pid': 809, 'vms': 416993.765625} 

{'username': 'parasshivprasadkulkarni', 'name': 'RemindersWidgetExtension', 'pid': 810, 'vms': 416955.171875} 

